Company Name,Exhibitor,Website,LinkedIn URL,Country,Summary,Matched_Product,Distance_Score,Match_Reason,LinkedIn_Company,Scraped_Country,Scrape_Status
,Cyberette,https://cyberette.ai/,,Unknown,"Real-Time Detection of Deepfakes in Images, Videos and Audio with over 99.7% Accuracy, delivered by highly Customizable & Scalable AI-Powered Solutions that integrate seamlessly into any workflow. Hel...",in_cabin,137.12,"accident response capability. This project highlights Rapidise's global reach, supporting customers in regions including Japan. 3. Edge AI Development: 2.5D Face Recognition (DMS/Digital Key) Ca...",https://www.linkedin.com/company/cyberette/,,success
,"Kneron, Inc.",https://www.kneron.com/,,Unknown,"Based in San Diego. Dedicate to the development of integrated edge AI hardware and software solutions for vehicle, security, and broader AIoT use cases. To empower the proliferation of accessible, low...",in_cabin,137.54,"accident response capability. This project highlights Rapidise's global reach, supporting customers in regions including Japan. 3. Edge AI Development: 2.5D Face Recognition (DMS/Digital Key) Ca...",https://www.linkedin.com/company/18611732/,,success
,KDDI Spherience,https://spherience.io/,,Unknown,"KDDI Spherience is part of KDDI Corporation, a Global Fortune 500 & Top 10 Telecom Carrier with 100+ offices around the world. We are connecting several of the world's largest brands in Industrial IoT...",in_cabin,137.78,"Light Sensor) into the HMI for monitoring and data visualization. The solution supports key connectivity features: Live GNSS, 4G LTE, USB, Wi-Fi/BLE, and Gigabit Ethernet. HMI/UX Focused on cr...",https://www.linkedin.com/company/kddi-spherience,,success
,"Samsung Electronics, Inc.",https://www.samsung.com/us/?msockid=039d4430253361983fb2529d24fe60fa,,Unknown,"Samsung Electronics Co., Ltd. inspires the world and shapes the future with transformative ideas and technologies. The company is redefining the worlds of TVs, digital signage, smartphones, wearables,...",in_cabin,139.55,"Rapidise's Rear Seat Entertainment solutions offer an enhanced in-car experience for passengers. Our design and development services integrate displays, touch screens, and infotainment systems, utili...",,used during reserve period. reservation gift is a one-time use e-certificate; when first used,success
,ETAS,https://www.etas.com/ww/en/,,Unknown,"ETAS provides vehicle basic software, middleware, development tools, cloud-based operations services, cybersecurity solutions, and end-to-end engineering and consulting services for the realization of...",in_cabin,140.32,• Deployment: These solutions involve developing AI Models on the Edge and Cloud and utilizing vehicle network interfacing and sensor data conditioning. F. Electronic Control Units (ECUs) ECU devel...,https://www.linkedin.com/company/etas/,the transformation of the automotive industry together with manufacturers and suppliers in an innovative and conscientious manner. we,success
,ETAS,https://www.etas.com/ww/en/,,Unknown,"ETAS provides vehicle basic software, middleware, development tools, cloud-based operations services, cybersecurity solutions, and end-to-end engineering and consulting services for the realization of...",in_cabin,140.32,• Deployment: These solutions involve developing AI Models on the Edge and Cloud and utilizing vehicle network interfacing and sensor data conditioning. F. Electronic Control Units (ECUs) ECU devel...,https://www.linkedin.com/company/etas/,the transformation of the automotive industry together with manufacturers and suppliers in an innovative and conscientious manner. we,success
aiMotive,aiMotive,,https://www.linkedin.com/company/aimotive,,"aiMotive is an automated driving company with a robust, reliable, automotive-grade tooling and embedded solutions product portfolio.",in_cabin,146.77,"2. Edge-AI Engineering and Innovation Rapidise specializes in IoT and AI-driven product design and development, offering solutions that leverage advanced algorithms for real-time in-vehicle processi...",,,no_website
,Sonatus,https://www.sonatus.com/use-cases/,,Unknown,"Sonatus is driving the evolution toward AI-driven, software-defined vehicles that are intelligent, adaptive, and continuously optimized. We enable automakers to harness vehicle data, derive insights, ...",in_cabin,147.6,"Rapidise's Vehicle Telemetry solutions provide comprehensive fleet management. • Core Functions: Real-time Location Tracking, Fuel Consumption Monitoring, Over-The-Air (OTA) Updates, Parking Managem...",https://www.linkedin.com/company/sonatus/,the urgent need for improved driver safety and working conditions.,success
,Aptiv,https://www.aptiv.com/,,Unknown,"At CES 2026, Aptiv will showcase solutions that bring intelligent, connected applications into the physical world — from ruggedized sensors and compute to high-performance software for autonomy, per...",in_cabin,147.63,"(Note: The sources provided do not mention the use of Ambarella SoCs in Rapidise's automotive solutions.) 2. Sensor and Integration Expertise Rapidise focuses on integrating sophisticated sensors, ...",https://www.linkedin.com/company/aptiv,,success
,Eyebot,https://www.eyebot.co/,,Unknown,"Eyebot has developed the world's fastest vision testing solution. Our kiosks deliver doctor-verified eyeglass prescriptions in minutes through advanced hardware and software—making accurate, accessibl...",in_cabin,147.77,model's Accuracy details reached 96.2%. Security & Sensing Combines a Camera and Time-of-Flight sensor to capture depth information alongside 2D imagery. This distinction is vital for robust pr...,,,success
,Ottawa Infotainment Inc.,https://ottawainfotainment.com/,,Unknown,"Automotive Infotainment Innovation From 1-off Concept Cars to Production Infotainment Solutions, our innovations have been featured in a number of autoshows and cars on the road today. Our expertise...",in_cabin,148.04,Area of Expertise Deliverables & Technical Details Measurable Impact & Outcome Product Scope Aims to enhance vehicle safety in Japan by developing an advanced emergency call system. The system ...,https://www.linkedin.com/company/90665077/,2880 sheffield rd,success
,Inmobi Inc.,https://www.inmobi.com/,,,,in_cabin,148.13,"Entertainment. • Custom IP/Platforms (RSP Platforms): Rapidise develops its own IP products, such as the Tejas Android Infotainment System (based on Qualcomm 625/Quectel SC600T, running Android 9.0...",,,success
,"Voyant Photonics, Inc.",https://voyantphotonics.com/,,Unknown,"Voyant designs and manufacturers high-performance FMCW LIDAR imaging systems based on silicon photonics for the lowest size, power, and cost. Our products address both automotive and industrial robot...",in_cabin,148.18,"(Note: The sources provided do not mention the use of Ambarella SoCs in Rapidise's automotive solutions.) 2. Sensor and Integration Expertise Rapidise focuses on integrating sophisticated sensors, ...",https://www.linkedin.com/company/voyantphotonics/,,success
,IOSiX,https://www2.iosix.com/,,Unknown,"IOSiX has been pushing the bounds of what is possible since 2005. Look no further to see the future of fleet telematics from GPS trackers to heavy duty truck data loggers, IOSiX understands what's im...",in_cabin,148.19,Dual Display IVI System for Truck OEM (Design to Production) Tech Stack: (CAN Data Acquisition Module) ● OS : Android 10 ● Linux Kernel : 5.4 ● Language: C ● Android 10 ● Quectel's Android RIL Driver ...,,USA,success
,Polymatech,https://www.polymatech.us/about/,,Singapore,"Polymatech Electronics proudly stands as India's first semiconductor chip manufacturer. With a relentless focus on innovation, precision, and quality, we bring advanced Japanese semiconductor technolo...",in_cabin,148.8,"• Quality Manufacturing Environment: The SMT Area and Camera Module Assembly Area are both Rated Class 100,000 Clean Room, crucial for high- precision electronics manufacturing. • Advanced Equipment...",,417-a salinas road watsonville,success
,PONTOSENSE,https://www.pontosense.com/,,Unknown,"Pontosense develops privacy-first, contactless sensing technology that enhances lives and protects the vulnerable. By combining wireless engineering with AI, Pontosense transforms everyday spaces into...",in_cabin,149.55,"rapidise.co Rapidise DMS - Driver Health Monitoring Telep DMS with Driver Health Monitoring acts as your health-conscious companion on the road. In real-time, it monitors vital signs like blood oxyge...",https://www.linkedin.com/company/pontosense/,,success
,MCY Technology Limited,,,,"Over 3, 000 square meters factory, employing over 100 staff, including 20+ engineers with over 20 years experience in automobile industry, along with the latest manufacturing&testing equipment, MCY ha...",in_cabin,149.67,• Engineering Team: The operations are supported by an End-to-End Automotive Product Development team of more than 300 engineers and a manufacturing and engineering team totaling 500+. • Geographic...,,,no_website
,Realfiction Lab ApS,https://www.realfiction.com/,,,,in_cabin,150.44,"• Safety Monitoring: Driver Fatigue (Eye Blink/Yawn Detection, Accuracy 93%), Mobile Phone Usage Detection (Accuracy 95%), and Seat Belt On Detection (Accuracy 97%). • Health and Occupancy: Monitor...",https://www.linkedin.com/company/realfiction,Denmark,success
,Imagry Inc.,https://imagry.co/,,Unknown,"Introducing Generative Autonomy: real-time intelligence that drives machines in the physical world. Our platform, Imagry Cortex™, delivers vision-based autonomy without HD maps, LiDAR, or the cloud. U...",in_cabin,151.56,"consists of ready-to-use computer vision AI algorithms designed to be hardware agnostic. Key ADAS offerings include: • Warning Systems: Forward-Collision Warning (detecting cars, trucks, buses, mo...",https://www.linkedin.com/company/imagry/,,success
,FocusDrive,https://support.microsoft.com/en-us/windows/file-explorer-in-windows-ef370130-1cca-9dc5-e0df-2f7416fe1cb1,,,"FocusDrive develops an AI-powered in-car camera system that detects driver distraction in real time, providing instant alerts to prevent accidents. Our mission is to enhance road safety with affordabl...",in_cabin,152.86,"consists of ready-to-use computer vision AI algorithms designed to be hardware agnostic. Key ADAS offerings include: • Warning Systems: Forward-Collision Warning (detecting cars, trucks, buses, mo...",,,no_website
,OPmobility,https://www.opmobility.com/wp-content/uploads/documents/opmobility-vibes-202505-en/7/,,Unknown,"OPmobility, a world leading partner for all mobility players with innovative tech for more sustainable & connected mobility. €11.4b sales/152 plants/40 R&D centers/40,300 emp. Our mission: Driving a N...",in_cabin,154.54,Rapidise's Digital Mobility solutions provide passengers with a connected and seamless experience across different modes of transportation. Our comprehensive design and development services integrate...,,,success
,RoverSense Technologies,https://www.roversensetech.com/,,Unknown,"RoverSense Technologies aims to revolutionize electronics for the Recreational Vehicle industry through its diverse products offerings. RoverSense has developed AI-powered liquid level sensors, highly...",in_cabin,155.07,"(Note: The sources provided do not mention the use of Ambarella SoCs in Rapidise's automotive solutions.) 2. Sensor and Integration Expertise Rapidise focuses on integrating sophisticated sensors, ...",,,success
,Virinco Americas Inc.,https://virinco.com/,,Unknown,"Collect and visualize all your test and repair data in one place. WATS gives OEMs, CMs, and EMS real-time insight into yield issues, failures, and test gaps, across all sites. Scalable, fast to deploy...",in_cabin,156.07,"• Reliability Testing: The Product Reliability Test Lab is equipped for extreme testing, including HALT/HAST tests, Electromagnetic Testing (EMI & EMC), ESD control, Thermal, Humidity, Insulation, E...",https://www.linkedin.com/company/241586/,grønland 1,success
,Helbling Technik,https://helbling.ch/en/about-us/business-units/technik,,Unknown,"The Helbling Group is a leader in technological innovation, engineering and business consulting and supports its international clients from various industries in all phases of product development and ...",in_cabin,157.31,"Rapidise serves as a complete Offshore Development Center (ODC) in the automotive sector, offering an exclusively engineered team with niche expertise in technology-driven automotive solutions. Thei...",https://www.linkedin.com/company/helbling/,,success
,LITBIG INC.,https://maps.google.co.jp/,,,"LITBIG Inc. is a leading innovator in advanced embedded systems for automotive safety and entertainment. Specializing in AI and camera vision technologies, we develop Vision ADAS solutions for enhan...",in_cabin,159.11,"consists of ready-to-use computer vision AI algorithms designed to be hardware agnostic. Key ADAS offerings include: • Warning Systems: Forward-Collision Warning (detecting cars, trucks, buses, mo...",,,no_website
,SoftAtHome,https://www.softathome.com/,,Unknown,"SoftAtHome is an independent software provider with solutions on broadband, Wi-Fi, analytics, QoE monitoring, and a gateway app store. Our solutions power over 30 million connected homes globally. Wit...",in_cabin,159.69,Area of Expertise Deliverables & Technical Details Measurable Impact & Outcome Product Scope Aims to enhance vehicle safety in Japan by developing an advanced emergency call system. The system ...,https://www.linkedin.com/company/softathome/,9 rue du débarcadère 92700 colombes – france more sites sales and general enquiries: tel. +33 1 57 66 88 88 email: contact@softathome.com linkedintwitter (deprecated)youtube privacy policy | terms of use copyright softathome 2025 - all rights reserved back to top search search search   required 'candidate' login to applying this job. click here to logout and try again   login to your account enter email address: password: forgot password? save password reset password enter email address: already have an account? login enter the username or e-mail you used in your profile. a password reset link will be sent to you by email. close   answers   account activation before you can login,success
,VCarSystem Technology USA Corp,http://www.vcarsystem.com/aboutUs,,Unknown,"VCARSYSTEM is dedicated to the development of embedded system R&D testing toolchains, serving industries such as automotive, education, rail transportation, and aerospace.",in_cabin,159.72,• Deployment: These solutions involve developing AI Models on the Edge and Cloud and utilizing vehicle network interfacing and sensor data conditioning. F. Electronic Control Units (ECUs) ECU devel...,,,"error: Page.goto: Timeout 15000ms exceeded. Call log: - navigating to ""http://www.vcarsystem.com/aboutUs"""
,XEO,,,,"XEO is at the forefront of technological innovation, committed to elevating lifestyles and redefining the boundaries of entertainment.",in_cabin,159.85,"Entertainment. • Custom IP/Platforms (RSP Platforms): Rapidise develops its own IP products, such as the Tejas Android Infotainment System (based on Qualcomm 625/Quectel SC600T, running Android 9.0...",,,no_website
,SCS Inc.,,,,"With our expertise in advanced Artificial Intelligence algorithms, we provide the best solutions to our client's thermal management problems.",in_cabin,160.0,• Sensor Data Conditioning • AI Models Development • AI On Edge and Cloud • Cloud Interface for Vendors • Alerts On The IVI • Remoneddation On The IV Technology We Use Use Cases Services rapidise.co ...,,,no_website
,KAON Group,https://kaon.com/,,Unknown,"KAON is a global leader in delivering AI solutions, OTT, network devices and integration solutions to customers worldwide. KAON is committed to becoming a global platform leader by leveraging its in...",in_cabin,160.22,"Entertainment. • Custom IP/Platforms (RSP Platforms): Rapidise develops its own IP products, such as the Tejas Android Infotainment System (based on Qualcomm 625/Quectel SC600T, running Android 9.0...",https://www.linkedin.com/company/kaon-interactive,Netherlands,success
,TransAI,https://www.transai.com/en,,Unknown,"TransAI serves over 3 million users worldwide with AI-powered hardware and applications that enhance global communication. From calls to meetings, our products deliver real-time, context-aware transla...",in_cabin,160.65,"Rapidise serves as a complete Offshore Development Center (ODC) in the automotive sector, offering an exclusively engineered team with niche expertise in technology-driven automotive solutions. Thei...",https://www.linkedin.com/company/transai/,,success
,Cambridge Consultants,https://www.cambridgeconsultants.com/,,Unknown,"Cambridge Consultants (CC) is the deep tech powerhouse of Capgemini. We deliver transformative business value and growth for our clients, who gain defendable commercial and operational advantage from ...",in_cabin,160.67,"accident response capability. This project highlights Rapidise's global reach, supporting customers in regions including Japan. 3. Edge AI Development: 2.5D Face Recognition (DMS/Digital Key) Ca...",https://www.linkedin.com/company/9165/,,success
,Jellop,https://jellop.com/,,Unknown,"Jellop is the world's leading digital marketing partner for crowdfunding. Since 2015 we have helped creators raise $1.3B in over 6,000 crowdfunding campaigns. This year Jellop hosts over 50 technology...",in_cabin,161.29,"accident response capability. This project highlights Rapidise's global reach, supporting customers in regions including Japan. 3. Edge AI Development: 2.5D Face Recognition (DMS/Digital Key) Ca...",,,success
,Basemark,https://web.basemark.com/,,Unknown,"We make driving safer with AI-based Augmented Reality software. Basemark is a forerunning provider of software & tooling solutions for advanced automotive AR application development. Our solution, ...",in_cabin,161.47,"• Safety Monitoring: Driver Fatigue (Eye Blink/Yawn Detection, Accuracy 93%), Mobile Phone Usage Detection (Accuracy 95%), and Seat Belt On Detection (Accuracy 97%). • Health and Occupancy: Monitor...",https://www.linkedin.com/company/basemarkltd,,success
,Jabil Automotive & Transportation,https://www.jabil.com/industries/automotive-and-transportation.html,,Unknown,"Jabil is a world-class automotive technology manufacturer, enabling customers to deliver tomorrow's mobility technology. Working with Jabil, customers can accelerate design to market, manage supply ch...",in_cabin,162.01,"• Mold & Enclosure Manufacturing. • Green Manufacturing and Component Supply Chain Management. Rapidise holds key automotive industry certifications, notably IATF 16949, along with ISO 9001 and ISO...",https://www.linkedin.com/company/jabil,,success
,The DiSTI Corporation,https://www.disti.com/,,Unknown,The world's leading automotive manufacturers and OEMS rely on DiSTI to future-proof their User Interfaces and improve their training through DiSTI's virtual solutions. DiSTI products are currently pow...,in_cabin,162.28,Area of Expertise Deliverables & Technical Details Measurable Impact & Outcome Product Scope Aims to enhance vehicle safety in Japan by developing an advanced emergency call system. The system ...,https://www.linkedin.com/company/the-disti-corporation/,,success
,Digiforming,https://digiforming.io/,,Unknown,"Digiforming revolutionizes sheet metal forming with AI-powered manufacturing intelligence. Our solution predicts and prevents stamping defects before they occur, protects tools, and automates quality ...",in_cabin,162.47,"• Mold & Enclosure Manufacturing. • Green Manufacturing and Component Supply Chain Management. Rapidise holds key automotive industry certifications, notably IATF 16949, along with ISO 9001 and ISO...",,,success
,Devamapp Mobility,https://devamapp.tech/,,Unknown,"Devamapp is a smart mobility platform that brings together electric vehicle users, charging stations, and micromobility services in one app. It enables users to find, plan, and pay for charging, parki...",in_cabin,162.49,"Entertainment. • Custom IP/Platforms (RSP Platforms): Rapidise develops its own IP products, such as the Tejas Android Infotainment System (based on Qualcomm 625/Quectel SC600T, running Android 9.0...",https://www.linkedin.com/company/devamapp/,,success
,Business France Automotive,https://www.businessfrance.fr/en,,Unknown,"Welcome to the French Pavilion ! Discover the companies of the French delegation : AIRNITY, ARCURE, C-INERTIA, DEEPHAWK, GULPLUG, LYNRED, MITHIEUX, MVG, REGOM,SECURE IC and SYSGO. For more informati...",in_cabin,162.68,"Rapidise serves as a complete Offshore Development Center (ODC) in the automotive sector, offering an exclusively engineered team with niche expertise in technology-driven automotive solutions. Thei...",https://www.linkedin.com/company/business-france,France,success
,Kyoden,https://www.kyoden.co.jp/en/,,Unknown,"Kyoden delivers a complete in-house one stop solution as a comprehensive PCB manufacturer. We handle every stage from design, procurement, production, mounting and assembly at our own facilities. From...",in_cabin,162.79,"• Quality Manufacturing Environment: The SMT Area and Camera Module Assembly Area are both Rated Class 100,000 Clean Room, crucial for high- precision electronics manufacturing. • Advanced Equipment...",,482-1,success
,GetFocus,https://www.getfocus.eu/about-us,,Unknown,"The technological future is more predictable than you think. GetFocus harnesses AI and patent data to spot disruptive technologies early, so you can stay ahead of the curve. Trusted by the US Navy, Ca...",in_cabin,162.98,"2. Edge-AI Engineering and Innovation Rapidise specializes in IoT and AI-driven product design and development, offering solutions that leverage advanced algorithms for real-time in-vehicle processi...",https://nl.linkedin.com/company/getfocus-bv,,success
,Sheba Microsystems Inc.,https://shebamicrosystems.com/,,Unknown,"Sheba is a manufacturer of Silicon micro electrostatic actuators to achieve autofocus and optical image stabilization in digital cameras with a special focus on cameras used in automotive, AR/VR/AI gl...",in_cabin,164.87,"(Note: The sources provided do not mention the use of Ambarella SoCs in Rapidise's automotive solutions.) 2. Sensor and Integration Expertise Rapidise focuses on integrating sophisticated sensors, ...",,,success
,P3 labs inc,https://p3labs.ai/,,Unknown,"P3 Labs AI creates interactive, emotionally intelligent digital human avatars that bring storytelling, education, and brand experiences to life. Using advanced AI, real-time 3D animation, and holograp...",in_cabin,166.63,"accident response capability. This project highlights Rapidise's global reach, supporting customers in regions including Japan. 3. Edge AI Development: 2.5D Face Recognition (DMS/Digital Key) Ca...",,,success
,NXP Semiconductors,https://bbs.elecfans.com/jishu_2483994_1_1.html,,,"NXP Semiconductors is the trusted partner for innovative solutions in the automotive, industrial & IoT, mobile, and communications infrastructure markets. NXP's \""Brighter Together\"" approach combines...",in_cabin,166.71,"Avnet, Future, WPG). • Purchasing Power: The Annual Purchase Power is substantial, covering 30+ procurement categories (Electronics, Mechanical, Wires, Plastics, etc.). • Strategic Partnerships: Ra...",,,no_website
