Company Name,Exhibitor,Website,LinkedIn URL,Country,Summary,Matched_Product,Distance_Score,Match_Reason,LinkedIn_Company,Scraped_Country,Scrape_Status
,Roush,,,,"If you can dream it, we can build it. And design it, model it, engineer it, test it, validate it, manufacture it, and so much more. Whether on the road, the sky, the sea or exploring new frontiers, fo...",dashcam,160.01,"rapidise.coRapidise Confidential
Mechanical Development
● Product Specification Inputs
○ Implementation and Optimization of Existing Process for Specifications mentioned
○ Generating Inputs according ...",,,no_website
,Digi International,https://www.digi.com/,,Unknown,Digi International is a leading global provider of mission-critical IoT connectivity products and services. We help our customers create next-generation connected products and deploy and manage critic...,dashcam,160.23,"IoT/Connected
 
Vehicle
 
solutions,
 
and
 
Telematics.
 
Their
 
ODM
 
capabilities
 
specifically
 
cover
 
Camera
 
Modules
 
&
 
Products,
 
Driver
 
Monitoring
 
Systems
 
(DMS),
 
Vision
 
Algo...",https://www.linkedin.com/company/digi-international,,success
,"Asmedia Technology, Inc.",https://support.google.com/youtube/?hl=en,,,"We specialize in high-speed IC design and development, and have gained mastery of both the frond-end and back-end development, including digital logic design, analog design, and software development a...",dashcam,162.55,"Multilayer
 
PCB
 
Layout
 
Design,
 
High-Speed
 
Board
 
Design,
 
and
 
Analog
 
&
 
RF
 
Design.
 •  Optimization  and  Tuning:  Services  cover  Bill  of  Materials  (BoM)  Optimization,  Antenna...",,,no_website
,Crackletech LLC,https://crackletech.com/,,Unknown,"OGHom is a brand dedicated to creating innovative and reliable garment care solutions. With a focus on advanced technology and quality craftsmanship, we strive to provide products that make everyday l...",dashcam,162.65,"Rapidise  provides  end-to-end  ODM  capabilities  for  dashcam  development,  transforming  the  
landscape
 
by
 
seamlessly
 
connecting
 
design
 
and
 
manufacturing
 
via
 
a
 
cutting-edge
 
on...",,,success
,SPILab Corporation,https://spilab.com/,,Unknown,"Raypann Drone is a self-adaptive AI drone platform that thinks about its own decisions. By combining a self-model with physics-based rules, it scores and explains each prediction, honestly signals whe...",dashcam,164.74,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",,,success
ADM Tech LLC,ADM Tech LLC,https://admtechus.com/,https://www.linkedin.com/company/admtechus,Unknown,"Tera, based in California, is a leading supplier of barcode scanners, mobile computers, PDAs, cash register drawers, and EV chargers. It is recognized as an Amazon Best Seller and Amazon's Choice for ...",dashcam,167.14,"Rapidise  operates  as  an  Original  Design  Manufacturer  (ODM)  leveraging  its  12+  years  of  design  and  
25+
 
years
 
of
 
manufacturing
 
experience
 
to
 
deliver
 
complex
 
dashcam
 
and...",,,success
,Autodatas,http://googleads.g.doubleclick.net/,,,"AUTODATAS provides solutions through an intelligent SaaS data platform “Darwin”. We have deep insight at automotive technology including costing, supply chain and sustainability.",dashcam,167.41,"Fleet  Specific  Monitoring  Dashcams  are  integrated  with  algorithms  to  detect  abrupt  events  like  sudden  braking  and  rapid  acceleration  using  IMU  data,  vital  for  fleet  management ...",,,no_website
4rge.ai (by Triangle Man LLC),4rge.ai (by Triangle Man LLC),https://forum.lowyat.net/topic/5538738/all,Not found on website,,Groundbreaking motion tracking solutions for the 2030s! Introducing new and intelligent motion tracking solutions including the Trifecta-K series of high-performance IMUs and Trifecta-M series of sate...,dashcam,167.6,"NPU)
 
and
 
RISE
 
Y1
 
(Qualcomm
 
SM6225,
 
featuring
 
2
 
TOPS
 
NPU).
 
The
 
Dashcam
 
variant
 
of
 
the
 
RISE
 
C1
 
platform
 
features
 
a
 
Hexagon
 
DSP
 
and
 
a
 
1
 
TOPS
 
NPU.
 •  E...",,,no_website
AgfaPhoto,AgfaPhoto,https://agfaphoto.com/en/home-english/,Not found on website,Unknown,"Since 1867, AgfaPhoto has been a constant innovator for consumer imaging products worldwide. Today we provide a wide range of products for capturing, processing, printing, storing and sharing pictures...",dashcam,168.34,"Rapidise  provides  end-to-end  ODM  capabilities  for  dashcam  development,  transforming  the  
landscape
 
by
 
seamlessly
 
connecting
 
design
 
and
 
manufacturing
 
via
 
a
 
cutting-edge
 
on...",,,success
AImoji,AImoji,https://www.aimojitech.com/products,https://www.linkedin.com/company/aimoji,Unknown,"We transform simple text into dynamic, personalized emojis and avatars using advanced generative AI. We're building the next universal language for digital health.",dashcam,169.38,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",,,success
,"INRIX, Inc.",https://inrix.com/,,Unknown,"INRIX stands at the crossroads of technology and transportation. With solutions spanning the entire mobility ecosystem, INRIX can help you make an impact whether its improving road safety, optimizing ...",dashcam,170.56,"IoT/Connected
 
Vehicle
 
solutions,
 
and
 
Telematics.
 
Their
 
ODM
 
capabilities
 
specifically
 
cover
 
Camera
 
Modules
 
&
 
Products,
 
Driver
 
Monitoring
 
Systems
 
(DMS),
 
Vision
 
Algo...",https://www.linkedin.com/company/inrix,,success
,FunIT Inc.,https://www.chess.com/,,,"FunIT Inc. develops XR, VR, AR, and AI-based systems that enhance spatial recognition, real-time interaction, and digital simulation. Our advanced solutions provide immersive, data-driven training exp...",dashcam,172.71,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",,,no_website
,ASYGN,https://asygn.com/about-us/,,Unknown,"ASYGN makes chips that make it possible for electronic devices to analyze and understand what they see. We believe that humans will communicate with devices through sight, not through touch. Our lates...",dashcam,173.82,"Multilayer
 
PCB
 
Layout
 
Design,
 
High-Speed
 
Board
 
Design,
 
and
 
Analog
 
&
 
RF
 
Design.
 •  Optimization  and  Tuning:  Services  cover  Bill  of  Materials  (BoM)  Optimization,  Antenna...",https://www.linkedin.com/company/asygn,grenoble area in the french alps,success
,Amazon,https://www.amazon.in/,,,Amazon for Automotive features Amazon Smart Vehicles and AWS for Automotive.,dashcam,174.4,"advanced
 
vehicle
 
safety
 
features
 
(ADAS/DMS).
 •  AI  Applications:  Expertise  includes  Computer  Vision,  Edge  Computing  &  AI,  and  Algorithm  
Development.
 •  Automotive  AI  Portfolio...",,,no_website
,Provoke Solutions,https://provokesolutions.com/,,Unknown,"Meet KNOVVA.AI, the future of the software development lifecycle powered by Provoke’s Proprietary IP. Our AI digital co-workers automate testing, quality, and modernization, delivering faster results ...",dashcam,174.47,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",https://www.linkedin.com/company/provokesolutions/,,success
Aiminify,Aiminify,https://en.wikipedia.org/wiki/XXX_(film_series),https://www.linkedin.com/company/aiminify,," Aiminify, founded in 2023 and headquartered in Amersfoort, Netherlands, offers user-friendly AI network compression tools for neural networks, enabling quick optimization of AI models to reduce size, increase speed, and lower carbon footprints with minimal quality loss through techniques like pruning, targeting developers and businesses for sustainable AI deployment.",dashcam,175.66,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",,,no_website
AEye,AEye,https://www.zhihu.com/question/650524932,https://www.linkedin.com/company/aeye-inc.,," AEye develops software-defined adaptive LiDAR solutions for automotive, trucking, smart infrastructure, and logistics, enabling advanced driver-assistance and autonomy. Their 4Sight™ platform and products like Apollo (1550 nm sensor) and OPTIS focus on high-resolution, long-range perception to enhance safety and efficiency, with a global presence and emphasis on OEM pain points.",dashcam,175.78,"IoT/Connected
 
Vehicle
 
solutions,
 
and
 
Telematics.
 
Their
 
ODM
 
capabilities
 
specifically
 
cover
 
Camera
 
Modules
 
&
 
Products,
 
Driver
 
Monitoring
 
Systems
 
(DMS),
 
Vision
 
Algo...",,,no_website
,Segments.ai,,,,"Spend less time on labeling and more time building, running, and optimizing your ML algorithms. Segments.ai’s multi-sensor labeling platform lets you combine your 3D point cloud data and 2D image data...",dashcam,175.96,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",,,no_website
,Realbotix,https://www.realbotix.ai/,,Unknown,"Realbotix can replicate a historical figure, a celebrity or bring to life a client's vision for a humanoid robot. Our clients choose what robot they want and customize the details and aesthetics of th...",dashcam,178.61,"Rapidise  leverages  extensive  Artificial  Intelligence  (AI)  and  Computer  Vision  capabilities  to  develop  
advanced
 
features
 
for
 
its
 
dashcam
 
and
 
Edge
 
AI
 
Box
 
solutions,
 
focu...",https://www.linkedin.com/company/realbotixcorp/,*,success
,Goodyear Tire & Rubber Company,https://www.goodyear.com/,,Unknown,"At Goodyear, innovation isn't just what we do - it's who we are. Since Goodyear's founding in 1898, our standard for success has been based on a commitment to continuous improvement and innovation.",dashcam,178.69,"Rapidise  is  an  Original  Design  Manufacturer  (ODM)  that  focuses  on  next-generation  product  
engineering
 
and
 
electronics
 
manufacturing,
 
serving
 
core
 
industries
 
including
 
the
...",,,success
,Pelsee US Inc,https://www.pelsee.com/,,Unknown,"Pelsee is redefining the future of driving through intelligent technology. From advanced Mirror Dash Cams to next-generation Dash Cams, we integrate AI-powered driving assistance with full-color night...",dashcam,179.15,DashCamera Solutions,,United States,success
,"DarSté, Inc.",,,,"DarSté Inc. provides automotive security innovation solutions for carjacking and vehicle theft prevention. Our patented leading product, Phantom Kill Switch, incorporates passive electronic technology...",dashcam,179.84,"Rapidise  operates  as  an  Original  Design  Manufacturer  (ODM)  leveraging  its  12+  years  of  design  and  
25+
 
years
 
of
 
manufacturing
 
experience
 
to
 
deliver
 
complex
 
dashcam
 
and...",,,
