Company Name,Exhibitor,Website,LinkedIn URL,Country,Summary,Matched_Product,Distance_Score,Match_Reason,LinkedIn_Company,Scraped_Country,Scrape_Status
,Opticwash,https://opticwashmini.com/,,Unknown,Opticwash is the world's first and only self-serve kiosk dedicated to the cleaning of eyewear and jewelry. Opticwash uses forward looking technology that gives a consumer a healthier and safer alterna...,beacon,154.7,"cv N2 N2, is the powerhouse for tracking and monitoring critical goods and assets in temperature and humidity-controlled environments. Proudly 100% designed and developed in India, the N2 is meticul...",,,success
,move technology GmbH,https://move.nl/?v=4tav,,Unknown,"We are an innovative solutions provider for green energy and smart AI applications. We support our clients from concept to market launch, focusing on sustainable mobility, AI-driven software, and mode...",beacon,154.83,Rapidise Edge AI Solutions – AI Box | T elep AI Stack | Cloud Backend (Automotive Example) rapidise.co,,,success
,MinebeaMitsumi,https://www.minebeamitsumi.com/english/,,Unknown,"MinebeaMitsumi develops advanced components that power humanoid robotics with precision and intelligence. Our innovations also support med-tech, consumer electronics, home appliances, and automotive i...",beacon,155.96,"Humidity sensors. The advanced N4 also includes temperature, humidity, and ambient light sensors. 5. Security and Access Control Core Problem Addressed: Manual Access Control. Manual processes lead...",,,success
,Hidonix,https://hidonix.com/,,Unknown,"Among its innovations in AI and robotics, Hidonix develops cutting-edge navigation technologies that connect physical and digital spaces. At CES, we are presenting our proprietary indoor–outdoor navig...",beacon,159.99,"Humidity sensors. The advanced N4 also includes temperature, humidity, and ambient light sensors. 5. Security and Access Control Core Problem Addressed: Manual Access Control. Manual processes lead...",https://www.linkedin.com/company/hidonix/posts/,to receive news and updates.subscribe,success
,DIRECTV LLC,https://www.directvadvertising.com/,,Unknown,"DIRECTV Advertising is a pioneer in the converged addressable space, delivering industry leading audience-based, digital, and innovative media solutions.",beacon,160.03,"N2 Technical Specification Functions Advertising Format Apple iBeacon (In the absence of sensor) Google Eddystone (UID,URL, TLM) (In the absence of sensor) User Custom Multi-advertising (On Request) ...",,audiences,success
,Durin,https://conteudo.durin.com.br/catalogo-pratico,,Unknown,Durin is building next-gen context-aware access for ultimate convenience and always-on security.,beacon,160.67,"Security & Access Control Automate access control with seamless, location-based security solutions. Events Enhance event engagement with location triggered updates and personalized content. Specifi...",,,success
,Iontra Inc.,https://iontra.com/,,Unknown,"Iontra is a Colorado-based battery innovation company that dramatically improves the charge speed, cycle life, capacity utilization, cold weather charging, and safety of all lithium batteries. Iontra'...",beacon,160.94,Power/Battery CR2450 Li-ion coin cell battery The N14 provides longer battery life by using the larger CR2450 battery (compared to N1's CR2032). Sensors/Protection No sensors Features an IP67 ra...,https://www.linkedin.com/company/iontra,,success
,Blumind,https://blumind.ai/,,Unknown,"Blumind is making AI accessible and sustainable with its innovative analog AI chips. Edge AI applications in AIoT, robotics, smart mobility, smart home/city, health and wearables will benefit from Blu...",beacon,161.99,"Control, Event Management. N2 Temp + humidity sensors. Environmental Monitoring, Retail Promotions, Asset Tracking, Security & Access Control, Event Management. N3 Strong signal + SOS; LED Indic...",https://www.linkedin.com/company/blumindai/,*,success
,Davis Instruments,https://www.davisinstruments.com/,,Unknown,"Davis, an AEM company, is the leader in environmental monitoring instruments for commercial & consumer marketplaces. The proven accuracy, durability and flexibility of Davis products, including AirLin...",beacon,164.09,"misplacement with minimal setup. They track movement and location for efficient asset management. Relevant Beacon Models: All primary models (N1, N2, N3, N4, N14) are designed for versatile Asset T...",https://www.linkedin.com/company/davisinstruments/,*,success
,Xenra,https://www.xenra.ai/,,Unknown,"Your Wi-Fi already connects. Now it senses. Xenra transforms ambient Wi-Fi into real-time wellness, sleep, and presence insights - no cameras, wearables, or cloud. Plug-and-play device detects heart r...",beacon,164.4,"Humidity sensors. The advanced N4 also includes temperature, humidity, and ambient light sensors. 5. Security and Access Control Core Problem Addressed: Manual Access Control. Manual processes lead...",,,success
,Interlink Electronics Inc,https://www.interlinkelectronics.com/,,Unknown,"Interlink Electronics Inc., is a global smart sensor and printed electronics provider. Offering force, piezo-electric and other sensors for HMI. Now also sensors for smart fabrics and textiles for we...",beacon,165.2,"cv N2 N2, is the powerhouse for tracking and monitoring critical goods and assets in temperature and humidity-controlled environments. Proudly 100% designed and developed in India, the N2 is meticul...",https://www.linkedin.com/company/interlink-electronics,strategic geographical regions on all continents.,success
,NODI,https://nodi3d.com/,,Unknown,"Beautiful, smart products for kids that deliver the perks of smartphones - minus the risks.",beacon,165.28,"This modular approach is similar to a tool chest: instead of one multi-tool, they offer specialized implements (N2 for temperature monitoring, N4 for advanced safety, N1/N14 for basic tracking) buil...",,,success
,"Yongkang Hebang Tools co.,ltd",https://support.google.com/youtube/?hl=en,,,"A professional manufacturer and exporter of powertools, hair dryer, hair styler and small home appliances.",beacon,166.03,"75+Mn USD Specialized partner ecosystem for Prototype & Sample manufacturing Rapidise Annual Purchase Power 30+ procurement categories (Electronics, Mechanical, Wires, Plastics etc.) Imports from...",,,no_website
,Duetware,https://meaegi.com/,,,We enable rapid development of IoT-connected devices that drive sustainability—cutting energy use and managing water efficiently. Our no-code IoT platform and tools deliver data-driven control and ins...,beacon,166.29,"This modular approach is similar to a tool chest: instead of one multi-tool, they offer specialized implements (N2 for temperature monitoring, N4 for advanced safety, N1/N14 for basic tracking) buil...",,,no_website
,"Dynamic Map Platform North America, Inc.",https://www.zhihu.com/question/520829389,,,"How do you confidently build systems that shape the future of Mobility? The answer is Certainty. Certainty that your data reflects the world with precision. Certainty that decisions, whether by a ...",beacon,166.35,"IwayPlus Meets Rapidise A Perfect Hardware3Software Collaboration IwayPlus, a system Integrator, was selected to build an Indoor Navigation System, essentially a ""GPS for indoors"". For reliability, a...",,,no_website
,Tectonic Audio Labs,https://audioxpress.com/article/ces-2022-audio-highlights-10-companies-we-want-to-see-and-hear-again,,,,beacon,166.57,"or Nordic (nRF52805 or nRF52820) chipsets. These chips facilitate communication using Bluetooth 5.3 or earlier standards, offering up to a 100m range in open areas. • Power Efficiency: The beacons ...",https://www.linkedin.com/company/audioxpress/,,success
,Xtreme Cables,https://xtremecables.com/,,Unknown,"Jem Accessories, Inc., the parent company of Xtreme Cables, is a privately held corporation specializing in the manufacturing and sales of digital lifestyle accessories including power cables, chargin...",beacon,166.84,"Enhanced Connectivity and Versatility Services & Customization Comprehensive Engagement Solutions Supports Apple iBeacon, Google Eddystone (UID, URL, TLM), and custom formats. Multi-Advertising Capabi...",,,success
,Nordic Semiconductor,https://www.nordicsemi.com/About-us,,Unknown,"Nordic is a fabless semiconductor company specializing in wireless technology that powers the IoT. Our award-winning Bluetooth Low Energy solutions have made us market leader, complemented by ANT+, Th...",beacon,167.85,Main Chip Nordic nRF52805 Utilizes Bluetooth 4.2 Compliant and Bluetooth 5.0 Certified. Features 1 Red LED Indicator The LED is present for various status indications. Advertising Formats Suppor...,,,success
,Resideo,https://www.resideo.com/us/en/,,Unknown,"Resideo is a leading global manufacturer and developer of technology-driven products and services that deliver comfort, energy efficiency, safety, and security. Through our trusted brands—Honeywell Ho...",beacon,167.88,"Humidity sensors. The advanced N4 also includes temperature, humidity, and ambient light sensors. 5. Security and Access Control Core Problem Addressed: Manual Access Control. Manual processes lead...",https://www.linkedin.com/company/resideo1/,USA,success
,GEODNET,https://geodnet.com/product,,Unknown,"GEODNET is a Web3 blockchain-powered RTK network built on #DePIN principles. Led by GPS experts, it delivers global centimeter-level accuracy by merging blockchain with advanced RTK. GEODNET powers th...",beacon,168.57,"IwayPlus Meets Rapidise A Perfect Hardware3Software Collaboration IwayPlus, a system Integrator, was selected to build an Indoor Navigation System, essentially a ""GPS for indoors"". For reliability, a...",,,"error: Page.goto: Timeout 15000ms exceeded. Call log: - navigating to ""https://geodnet.com/product"", wait"
Accessory Power,Accessory Power,https://www.accessorypower.com/,https://www.linkedin.com/company/accessory-power,Unknown,"Accessory Power is a consumer electronics manufacturer dedicated to providing a diverse range of high quality products for over 40 years. Complete with 4 main brands, GOgroove audio accessories, USA G...",beacon,169.57,"N1 Technical Specification Power Power Supply Non-Replaceable, Non-Rechargeable CR2032 Li-ion coin cell battery Average Current 3uA (Default settings)* Lifetime 3+ years (Default settings)* Functi...",,USA,success
,Cognitive Systems Corp.,https://www.cognitivesystems.com/,,Unknown,"Cognitive Systems Corp. leverages the untapped potential of wireless signals to deliver truly smart home ecosystems. Its Wi-Fi Sensing technology, WiFi Motion, is a software platform that uses AI and ...",beacon,169.84,"N2 Technical Specification Functions Advertising Format Apple iBeacon (In the absence of sensor) Google Eddystone (UID,URL, TLM) (In the absence of sensor) User Custom Multi-advertising (On Request) ...",https://www.linkedin.com/company/cognitive-systems-corp-,,success
,Sam's Club Member Access Platform,https://map.samsclub.com/,,Unknown,"MAP's mission is to provide the most valuable and additive ads experience to our member. It's our member-first approach that differentiates us, along with the combination of our platform, our products...",beacon,170.47,Key Functionality: Beacons boost sales and engage customers with targeted promotions and location-based offers. They provide attendees and guests with location-based information and timely updates i...,https://www.linkedin.com/company/sams-club-map,,success
,"ENEOS Holdings, Inc.",https://www.hd.eneos.co.jp/english/sustainability/,,Unknown,"While fulfilling our responsibility of providing a stable supply of energy and materials both today and in the future, we will realize a carbon-neutral society through energy transition. This is also ...",beacon,170.55,"cv N2 N2, is the powerhouse for tracking and monitoring critical goods and assets in temperature and humidity-controlled environments. Proudly 100% designed and developed in India, the N2 is meticul...",,esg issues as a global corporate group. in addition,success
,Flashpoint Safety Systems,https://flashpointsafety.com/,,Unknown,"Flashpoint Safety Systems develops advanced early-warning and fire mitigation technologies that protect people, property, and infrastructure from lithium-ion battery hazards across consumer battery ap...",beacon,171.69,Power/Battery CR2450 Li-ion coin cell battery The N14 provides longer battery life by using the larger CR2450 battery (compared to N1's CR2032). Sensors/Protection No sensors Features an IP67 ra...,,,success
,Coroflo,https://www.coroflo.com/shop/,,Unknown,"Coroflo has created ""Coro"", the revolutionary world's first accurate breastfeeding monitor. Coro is a silicone shield with patented inbuilt flow measurement. As baby feeds, quantity is measured and th...",beacon,172.08,"cv N2 N2, is the powerhouse for tracking and monitoring critical goods and assets in temperature and humidity-controlled environments. Proudly 100% designed and developed in India, the N2 is meticul...",https://www.linkedin.com/company/coroflo/,,success
,IoT M2M Council,https://www.iotm2mcouncil.org/,,Unknown,"The IoT M2M Council is the largest and fastest-growing trade group dedicated to the global IoT sector, with the mission of bringing technology adopters together with solutions providers through live a...",beacon,172.32,"IwayPlus Meets Rapidise A Perfect Hardware3Software Collaboration IwayPlus, a system Integrator, was selected to build an Indoor Navigation System, essentially a ""GPS for indoors"". For reliability, a...",,,success
,Apecoo,https://www.apecoo.com/,,Unknown,"Apecoo and CHEF AI are redefining the smart kitchen. Powered by CHEF AI's autonomous cooking platform, Apecoo's appliances cook any dish with one touch delivering precision, adaptability, and true con...",beacon,172.81,"Tejas IoT Gateway rapidise.co Developed for IoT & AI Edge computation applications, Rapidise's Tejas Turbo Receiver offers high processing power and seamless wireless connectivity for Sensors Netw...",,silicon valley california,success
,EZCast,https://www.ezcast.com/,,Unknown,"EZCast is a leading brand in wireless display technology, enabling seamless peer-to-peer screen sharing for meetings, education, and film production. With strong connectivity, smart design, and stable...",beacon,172.86,"or Nordic (nRF52805 or nRF52820) chipsets. These chips facilitate communication using Bluetooth 5.3 or earlier standards, offering up to a 100m range in open areas. • Power Efficiency: The beacons ...",https://www.linkedin.com/company/ezcast/,,success
,EZCast,https://www.ezcast.com/,,Unknown,"EZCast is a leading brand in wireless display technology, enabling seamless peer-to-peer screen sharing for meetings, education, and film production. With strong connectivity, smart design, and stable...",beacon,172.86,"or Nordic (nRF52805 or nRF52820) chipsets. These chips facilitate communication using Bluetooth 5.3 or earlier standards, offering up to a 100m range in open areas. • Power Efficiency: The beacons ...",https://www.linkedin.com/company/ezcast/,,success
,Blue Two electronics limited,https://www.zhihu.com/question/288944011,,,Specializing in the production of various Powerbanks,beacon,173.91,"N1 Technical Specification Power Power Supply Non-Replaceable, Non-Rechargeable CR2032 Li-ion coin cell battery Average Current 3uA (Default settings)* Lifetime 3+ years (Default settings)* Functi...",,,no_website
,Aqara LLC,https://www.aqara.com/en/,,Unknown,"Aqara has a broad smart home portfolio featuring lighting, door locks, sensors and cameras, and serves 11M+ customers. Focused on simplifying smart homes, Aqara embraces the Matter standard, ensuring ...",beacon,173.96,"Control, Event Management. N2 Temp + humidity sensors. Environmental Monitoring, Retail Promotions, Asset Tracking, Security & Access Control, Event Management. N3 Strong signal + SOS; LED Indic...",,,success
,Neuranics Limited,https://neuranics.com/,,Unknown,"Neuranics is pioneering magnetic sensing solutions that redefine human machine interaction. With ultra-sensitive TMR sensors, custom circuits and AI, we have created ground breaking solutions that ena...",beacon,174.44,"cv N2 N2, is the powerhouse for tracking and monitoring critical goods and assets in temperature and humidity-controlled environments. Proudly 100% designed and developed in India, the N2 is meticul...",https://www.linkedin.com/company/neuranics/,rothesay house134 douglas streetglasgow g2 4hfunited kingdom,success
,Atitan Inc.,https://www.atitaninc.com/contact-us,,Unknown,"We cater to consumer and professional needs, by delivering sophisticated hardware that simplifies connections between proprietary technological devices and software that allows users to interact wit...",beacon,174.45,"Contact Us Rapidise Technology Private Limited 415, Palladium Business Hub, Motera, Ahmedabad-380005, India Info@rapidise.co +91 7486023838 rapidise.co Copyright © 2025, Rapidise Specifications and i...",https://www.linkedin.com/company/atitan/,to receive news and updates.,success
,Z-Wave Europe GmbH,https://z-wave.me/where-to-buy/consumers/,,Unknown,"We deliver products and services to transform houses, apartments and offices into smart homes and offer the widest variety of Z-Wave, Zigbee, matter brands and products in Europe and Middle East. Furt...",beacon,174.65,"or Nordic (nRF52805 or nRF52820) chipsets. These chips facilitate communication using Bluetooth 5.3 or earlier standards, offering up to a 100m range in open areas. • Power Efficiency: The beacons ...",,,success
,SpotOn GPS Fence,https://spotonfence.com/,,Unknown,"SpotOn GPS Fence is the original and most accurate GPS dog fence, combining cutting-edge True Location™ technology with award-winning design for precise, wire-free virtual containment. Portable and re...",beacon,175.44,Power/Battery CR2450 Li-ion coin cell battery The N14 provides longer battery life by using the larger CR2450 battery (compared to N1's CR2032). Sensors/Protection No sensors Features an IP67 ra...,,the us and made with american craftsmanship. we're giving you the best gps technology has to offer,success
,Swan Softweb Solutions,https://swansoftweb.com/,,Unknown,"We automate business by AI driven custom software solutions and help increase profits, performance and potential. We enable owners to work less hours and earn more. We are a team of passionate soft...",beacon,175.75,"N1 use cases Copyright © 2025, Rapidise N1 is the ultimate go-to choice of versatile asset tracking applications across industries. Proudly 100% designed and developed in India, N1 is engineered for ...",,United States,success
,NuCurrent,https://www.nucurrent.com/,,Unknown,"NuCurrent delivers proven wireless power and data technology used in over 500 million devices worldwide. With patented inductive, resonant, and hybrid solutions, NuCurrent partners with leading brands...",beacon,176.61,"or Nordic (nRF52805 or nRF52820) chipsets. These chips facilitate communication using Bluetooth 5.3 or earlier standards, offering up to a 100m range in open areas. • Power Efficiency: The beacons ...",,,success
,Favored Tech USA Corporation,https://favoredtech.com/,,Unknown,"Favored Tech focuses on independent R&D, with plasma technology at its core, to build an integrated innovation system encompassing materials, processes, and equipment. The company provides customers w...",beacon,176.86,Power/Battery CR2450 Li-ion coin cell battery The N14 provides longer battery life by using the larger CR2450 battery (compared to N1's CR2032). Sensors/Protection No sensors Features an IP67 ra...,https://www.linkedin.com/company/19005142/,,success
,"Intromark, Inc.",https://www.intromark.com/,,Unknown,"Intromark Incorporated, located in Pittsburgh, Pennsylvania, has spent the last 40 years helping companies expand their product lines through strategic licensing, wholesale and distribution partnershi...",beacon,177.06,"N1 use cases Copyright © 2025, Rapidise N1 is the ultimate go-to choice of versatile asset tracking applications across industries. Proudly 100% designed and developed in India, N1 is engineered for ...",,,success
,VAMOS Ecosystem,https://vamosecosystem.fi/,,Unknown,"VAMOS Ecosystem is an innovation cluster that focuses on autonomous mobility in smart spaces. It brings together companies that jointly collaborate, compete, and create solutions based on smart spaces...",beacon,177.92,"N2 Technical Specification Functions Advertising Format Apple iBeacon (In the absence of sensor) Google Eddystone (UID,URL, TLM) (In the absence of sensor) User Custom Multi-advertising (On Request) ...",https://www.linkedin.com/company/weareremoted/,Finland,success
,Consulate of Canada Silicon Valley - Trade Commiss,https://www.tradecommissioner.gc.ca/en.html,,Unknown,"With an office in Silicon Valley, Canada's Trade Commissioner Service supports Canadian tech companies at CES by connecting them to international buyers, investors, and partners through a bespoke B2B ...",beacon,178.07,"75+Mn USD Specialized partner ecosystem for Prototype & Sample manufacturing Rapidise Annual Purchase Power 30+ procurement categories (Electronics, Mechanical, Wires, Plastics etc.) Imports from...",https://www.linkedin.com/company/tcssdc,Canada,success
