Company Name,Exhibitor,Website,LinkedIn URL,Country,Summary,Matched_Product,Distance_Score,Match_Reason,LinkedIn_Company,Scraped_Country,Scrape_Status
,Rexing Inc.,https://rexing.com/,,Unknown,"We are striving to become the leading brand in dash cams by pursuing innovative strategies, and maintaining a strong commitment to our customers, and we are thankful for everyone who supports us.",clean.csv,112.45,"•  Cameras  and  Sensors:      ◦  Dashcam  solutions  frequently  incorporate  a  compact  2-camera  unit  for  front  and  in-cabin  
views.
     ◦  Target  cameras  often  feature  4MP  resolution  ...",,,success
,Spectricity NV,https://spectricity.com/about-us/,,Unknown,"Founded in 2018 as a spin-off from Imec and headquartered in Belgium, Spectricity is a fabless semiconductor company specializing in the development and manufacturing of spectral sensing. Spectricity ...",clean.csv,116.95,"Selected Semiconductor Platforms for Reliable Products
Private & Confidential rapidise.coAll images shown are for illustrative purposes only. Actual products or results may vary
Rapidise works with se...",https://www.linkedin.com/company/spectricity/,,success
,"Luxoft USA, Inc.",https://www.luxoft.com/about-us,,Unknown,"DXC Technology helps the world’s most innovative organizations flourish in this era of AI, delivering services and solutions that customers depend on. Our engineering, consulting and technology expert...",clean.csv,132.24,"• Objective: Accolade  is looking to develop a DMS Dash camera from 
scratch based on their requirements shared, the Dash camera will be 
mainly used in the OEM Market.
• Current stage of development:...",,UK,success
,VOXX By Gentex Corporation,https://www.voxxelectronics.com/,,Unknown,"VOXX By Gentex Corporation has been driving innovation for over 60 years, supplying Automotive and Consumer Electronics on a global basis. We have a broad range of products sold under a portfolio of m...",clean.csv,135.7,"Rapidise  operates  as  an  Original  Design  Manufacturer  (ODM)  leveraging  its  12+  years  of  design  and  
25+
 
years
 
of
 
manufacturing
 
experience
 
to
 
deliver
 
complex
 
dashcam
 
and...",https://www.linkedin.com/company/voxxelectronics,USA,success
,Tanlink Corporation,https://tanlinkcorp.com/,,Unknown,"Manufacturer of dash cameras, mirror cameras, and battery jumpers.",clean.csv,136.33,"Rapidise  operates  as  an  Original  Design  Manufacturer  (ODM)  leveraging  its  12+  years  of  design  and  
25+
 
years
 
of
 
manufacturing
 
experience
 
to
 
deliver
 
complex
 
dashcam
 
and...",,,success
,Morsum Inc,https://www.morsuminc.net/,,Unknown,"Morsum Inc., founded in May 2022, is an emerging automotive electronics and IoT solutions provider. Backed by strong R&D, modern systems, and advanced facilities, we specialize in design, manufacturin...",clean.csv,142.32,"IoT/Connected
 
Vehicle
 
solutions,
 
and
 
Telematics.
 
Their
 
ODM
 
capabilities
 
specifically
 
cover
 
Camera
 
Modules
 
&
 
Products,
 
Driver
 
Monitoring
 
Systems
 
(DMS),
 
Vision
 
Algo...",,,success
,Tensor Auto Inc.,https://www.tensor.auto/,,Unknown,"Tensor is an American AI company building personal agentic products. Our flagship Tensor Robocar is the world’s first level 4 fully autonomous vehicle designed for private ownership, featuring a ""Dual...",clean.csv,142.54,"NPU)
 
and
 
RISE
 
Y1
 
(Qualcomm
 
SM6225,
 
featuring
 
2
 
TOPS
 
NPU).
 
The
 
Dashcam
 
variant
 
of
 
the
 
RISE
 
C1
 
platform
 
features
 
a
 
Hexagon
 
DSP
 
and
 
a
 
1
 
TOPS
 
NPU.
 •  E...",https://www.linkedin.com/company/tensor-auto/,,success
,Mars International,https://www.marsint.com/,,Unknown,Printed circuit board assembly with both domestic and off-shore manufacturing options. Full product design capabilities with expertise in IoT integration. Capable of handling low to high volume manu...,clean.csv,145.09,"Multilayer
 
PCB
 
Layout
 
Design,
 
High-Speed
 
Board
 
Design,
 
and
 
Analog
 
&
 
RF
 
Design.
 •  Optimization  and  Tuning:  Services  cover  Bill  of  Materials  (BoM)  Optimization,  Antenna...",https://www.linkedin.com/company/mars-international-inc-/,mars international,success
,Parallel Domain,https://paralleldomain.com/,,Unknown,"Parallel Domain accelerates the path to safe autonomy with high-fidelity digital twins from customer data that bridge simulation and reality. Our sensor simulation platform (camera, lidar, radar) supp...",clean.csv,145.36,"NPU)
 
and
 
RISE
 
Y1
 
(Qualcomm
 
SM6225,
 
featuring
 
2
 
TOPS
 
NPU).
 
The
 
Dashcam
 
variant
 
of
 
the
 
RISE
 
C1
 
platform
 
features
 
a
 
Hexagon
 
DSP
 
and
 
a
 
1
 
TOPS
 
NPU.
 •  E...",https://www.linkedin.com/company/parallel-domain/,,success
,Mobileye,https://www.mobileye.com/,,Unknown,"Mobileye leads the mobility revolution with its autonomous-driving and driver-assist technologies, harnessing world-renowned expertise in computer vision, machine learning, mapping, and data analysis....",clean.csv,152.94,"NPU)
 
and
 
RISE
 
Y1
 
(Qualcomm
 
SM6225,
 
featuring
 
2
 
TOPS
 
NPU).
 
The
 
Dashcam
 
variant
 
of
 
the
 
RISE
 
C1
 
platform
 
features
 
a
 
Hexagon
 
DSP
 
and
 
a
 
1
 
TOPS
 
NPU.
 •  E...",https://www.linkedin.com/company/24017,,success
,Gentex Corporation,https://www.gentex.com/,,Unknown,"Gentex is a technology company and long-time supplier of electro-optical products for the global automotive, aerospace, and fire protection industries. We supply nearly every major automaker with conn...",clean.csv,153.19,"Rapidise  operates  as  an  Original  Design  Manufacturer  (ODM)  leveraging  its  12+  years  of  design  and  
25+
 
years
 
of
 
manufacturing
 
experience
 
to
 
deliver
 
complex
 
dashcam
 
and...",https://www.linkedin.com/company/gentex-corporation/,,success
,"Samsung Electronics America, Inc.",https://www.samsung.com/us/?msockid=13f69bed67d7697a34ca8d40663868b3,,Unknown,"Samsung Ads is an advertising ecosystem spanning hundreds of millions of smart devices across TV, mobile, and desktop. Our unrivaled understanding of consumers, powered by exclusive Samsung data and i...",clean.csv,153.54,"• Objective: Accolade  is looking to develop a DMS Dash camera from 
scratch based on their requirements shared, the Dash camera will be 
mainly used in the OEM Market.
• Current stage of development:...",,used during reserve period. reservation gift is a one-time use e-certificate; when first used,success
,"Otter Products, LLC",https://otter.ai/?msockid=346dde9f619c66ce39afc83260e76790,,Unknown,"From humble beginnings in a Fort Collins, Colo. garage, OtterBox has spent over 25 years mastering the art of protection, delivering durable yet stylish phone cases that can go anywhere, do anything, ...",clean.csv,154.22,"designed
 
to
 
automatically
 
connect
 
to
 
an
 
emergency
 
call
 
center
 
upon
 
accident
 
detection,
 
providing
 
video
 
data
 
transmission.
 
The
 
device
 
includes
 
an
 
integrated
 
co...",https://www.linkedin.com/company/otter-ai/mycompany/,,success
,"Fujitsu North America, Inc.",https://fujitsuna.com/,,Unknown,"Fujitsu, a pioneer in global technology, will showcase its groundbreaking innovations. Focusing on sustainability transformation, Fujitsu leverages advanced AI, quantum computing, and digital twin tec...",clean.csv,154.94,"Selected Semiconductor Platforms for Reliable Products
Private & Confidential rapidise.coAll images shown are for illustrative purposes only. Actual products or results may vary
Rapidise works with se...",https://www.linkedin.com/company/fujitsu,,success
,IDB Inc.,https://www.iadb.org/en,,,"AIoT-based safety system integrating on-device edge and cloud intelligence. It detects anomalies, predicts hazards, and executes agentic AI-driven SOPs to prevent fires, failures, and risks. Designed ...",clean.csv,155.53,"Edge  AI  Software  (ADAS/DMS)  
The  software  stack  includes  embedded  capabilities  on  Linux  and  AOSP .  AI/ML  algorithms  are  applied  for  computer  vision.  Specific  applications  includ...",,,no_website
,JATCO Ltd,https://www.jatco.co.jp/english/,,Unknown,"JATCO Ltd. is the world's leading CVT transmission manufacturer and electrified powertrain specialist. With global production facilities and 50+ years of innovation, we're expanding into new mobility ...",clean.csv,155.81,"emergency
 
call
 
system
 
developed
 
for
 
the
 
Japan
 
AI
 
Box,
 
including
 
the
 
SOS
 
button,
 
voice
 
call
 
functions,
 
and
 
automatic
 
accident-triggered
 
video
 
transmission,
 
is
...",,,success
,Rapidus Corporation,https://www.rapidus.inc/en/,,Unknown,"Rapidus 2nm foundry & advanced packaging center in Hokkaido, Japan, will start volume operations in 2027. Named IIM for ""Innovative Integration for Manufacturing"", Rapicus aims to build energy-effici...",clean.csv,156.84,"Rapidise
 
ADAS
 
&
 
DMS
 
Analytics
 
Dashboard
 
and
 
a
 
Device
 
Management
 
&
 
Analytics
 
system.
 •  Mobile/Web  Apps:  Develops  Web  &  Mobile  Applications  (iOS  and  Android),  API  in...",,,success
,Sanjiang Innovations Inc.,https://www.douyin.com/,,,"Vantrue is a leading innovator in premium dash cams, featuring patented imaging technologies, true 4K recording, and AI-assisted safety. Trusted by millions worldwide, Vantrue delivers real performanc...",clean.csv,158.51,"IoT/Connected
 
Vehicle
 
solutions,
 
and
 
Telematics.
 
Their
 
ODM
 
capabilities
 
specifically
 
cover
 
Camera
 
Modules
 
&
 
Products,
 
Driver
 
Monitoring
 
Systems
 
(DMS),
 
Vision
 
Algo...",,,no_website
,Roush,,,,"If you can dream it, we can build it. And design it, model it, engineer it, test it, validate it, manufacture it, and so much more. Whether on the road, the sky, the sea or exploring new frontiers, fo...",clean.csv,160.01,"rapidise.coRapidise Confidential
Mechanical Development
● Product Specification Inputs
○ Implementation and Optimization of Existing Process for Specifications mentioned
○ Generating Inputs according ...",,,no_website
,Digi International,https://www.digi.com/,,Unknown,Digi International is a leading global provider of mission-critical IoT connectivity products and services. We help our customers create next-generation connected products and deploy and manage critic...,clean.csv,160.23,"IoT/Connected
 
Vehicle
 
solutions,
 
and
 
Telematics.
 
Their
 
ODM
 
capabilities
 
specifically
 
cover
 
Camera
 
Modules
 
&
 
Products,
 
Driver
 
Monitoring
 
Systems
 
(DMS),
 
Vision
 
Algo...",https://www.linkedin.com/company/digi-international,,success
,"Asmedia Technology, Inc.",https://support.google.com/youtube/?hl=en,,,"We specialize in high-speed IC design and development, and have gained mastery of both the frond-end and back-end development, including digital logic design, analog design, and software development a...",clean.csv,162.55,"Multilayer
 
PCB
 
Layout
 
Design,
 
High-Speed
 
Board
 
Design,
 
and
 
Analog
 
&
 
RF
 
Design.
 •  Optimization  and  Tuning:  Services  cover  Bill  of  Materials  (BoM)  Optimization,  Antenna...",,,no_website
,Crackletech LLC,https://crackletech.com/,,Unknown,"OGHom is a brand dedicated to creating innovative and reliable garment care solutions. With a focus on advanced technology and quality craftsmanship, we strive to provide products that make everyday l...",clean.csv,162.65,"Rapidise  provides  end-to-end  ODM  capabilities  for  dashcam  development,  transforming  the  
landscape
 
by
 
seamlessly
 
connecting
 
design
 
and
 
manufacturing
 
via
 
a
 
cutting-edge
 
on...",,,success
,SPILab Corporation,https://spilab.com/,,Unknown,"Raypann Drone is a self-adaptive AI drone platform that thinks about its own decisions. By combining a self-model with physics-based rules, it scores and explains each prediction, honestly signals whe...",clean.csv,164.74,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",,,success
ADM Tech LLC,ADM Tech LLC,https://admtechus.com/,https://www.linkedin.com/company/admtechus,Unknown,"Tera, based in California, is a leading supplier of barcode scanners, mobile computers, PDAs, cash register drawers, and EV chargers. It is recognized as an Amazon Best Seller and Amazon's Choice for ...",clean.csv,167.14,"Rapidise  operates  as  an  Original  Design  Manufacturer  (ODM)  leveraging  its  12+  years  of  design  and  
25+
 
years
 
of
 
manufacturing
 
experience
 
to
 
deliver
 
complex
 
dashcam
 
and...",,,success
,Autodatas,http://googleads.g.doubleclick.net/,,,"AUTODATAS provides solutions through an intelligent SaaS data platform “Darwin”. We have deep insight at automotive technology including costing, supply chain and sustainability.",clean.csv,167.41,"Fleet  Specific  Monitoring  Dashcams  are  integrated  with  algorithms  to  detect  abrupt  events  like  sudden  braking  and  rapid  acceleration  using  IMU  data,  vital  for  fleet  management ...",,,no_website
4rge.ai (by Triangle Man LLC),4rge.ai (by Triangle Man LLC),https://forum.lowyat.net/topic/5538738/all,Not found on website,,Groundbreaking motion tracking solutions for the 2030s! Introducing new and intelligent motion tracking solutions including the Trifecta-K series of high-performance IMUs and Trifecta-M series of sate...,clean.csv,167.6,"NPU)
 
and
 
RISE
 
Y1
 
(Qualcomm
 
SM6225,
 
featuring
 
2
 
TOPS
 
NPU).
 
The
 
Dashcam
 
variant
 
of
 
the
 
RISE
 
C1
 
platform
 
features
 
a
 
Hexagon
 
DSP
 
and
 
a
 
1
 
TOPS
 
NPU.
 •  E...",,,no_website
AgfaPhoto,AgfaPhoto,https://agfaphoto.com/en/home-english/,Not found on website,Unknown,"Since 1867, AgfaPhoto has been a constant innovator for consumer imaging products worldwide. Today we provide a wide range of products for capturing, processing, printing, storing and sharing pictures...",clean.csv,168.34,"Rapidise  provides  end-to-end  ODM  capabilities  for  dashcam  development,  transforming  the  
landscape
 
by
 
seamlessly
 
connecting
 
design
 
and
 
manufacturing
 
via
 
a
 
cutting-edge
 
on...",,,success
AImoji,AImoji,https://www.aimojitech.com/products,https://www.linkedin.com/company/aimoji,Unknown,"We transform simple text into dynamic, personalized emojis and avatars using advanced generative AI. We're building the next universal language for digital health.",clean.csv,169.38,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",,,success
,"INRIX, Inc.",https://inrix.com/,,Unknown,"INRIX stands at the crossroads of technology and transportation. With solutions spanning the entire mobility ecosystem, INRIX can help you make an impact whether its improving road safety, optimizing ...",clean.csv,170.56,"IoT/Connected
 
Vehicle
 
solutions,
 
and
 
Telematics.
 
Their
 
ODM
 
capabilities
 
specifically
 
cover
 
Camera
 
Modules
 
&
 
Products,
 
Driver
 
Monitoring
 
Systems
 
(DMS),
 
Vision
 
Algo...",https://www.linkedin.com/company/inrix,,success
,FunIT Inc.,https://www.chess.com/,,,"FunIT Inc. develops XR, VR, AR, and AI-based systems that enhance spatial recognition, real-time interaction, and digital simulation. Our advanced solutions provide immersive, data-driven training exp...",clean.csv,172.71,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",,,no_website
,ASYGN,https://asygn.com/about-us/,,Unknown,"ASYGN makes chips that make it possible for electronic devices to analyze and understand what they see. We believe that humans will communicate with devices through sight, not through touch. Our lates...",clean.csv,173.82,"Multilayer
 
PCB
 
Layout
 
Design,
 
High-Speed
 
Board
 
Design,
 
and
 
Analog
 
&
 
RF
 
Design.
 •  Optimization  and  Tuning:  Services  cover  Bill  of  Materials  (BoM)  Optimization,  Antenna...",https://www.linkedin.com/company/asygn,grenoble area in the french alps,success
,Amazon,https://www.amazon.in/,,,Amazon for Automotive features Amazon Smart Vehicles and AWS for Automotive.,clean.csv,174.4,"advanced
 
vehicle
 
safety
 
features
 
(ADAS/DMS).
 •  AI  Applications:  Expertise  includes  Computer  Vision,  Edge  Computing  &  AI,  and  Algorithm  
Development.
 •  Automotive  AI  Portfolio...",,,no_website
,Provoke Solutions,https://provokesolutions.com/,,Unknown,"Meet KNOVVA.AI, the future of the software development lifecycle powered by Provoke’s Proprietary IP. Our AI digital co-workers automate testing, quality, and modernization, delivering faster results ...",clean.csv,174.47,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",https://www.linkedin.com/company/provokesolutions/,,success
Aiminify,Aiminify,https://en.wikipedia.org/wiki/XXX_(film_series),https://www.linkedin.com/company/aiminify,," Aiminify, founded in 2023 and headquartered in Amersfoort, Netherlands, offers user-friendly AI network compression tools for neural networks, enabling quick optimization of AI models to reduce size, increase speed, and lower carbon footprints with minimal quality loss through techniques like pruning, targeting developers and businesses for sustainable AI deployment.",clean.csv,175.66,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",,,no_website
AEye,AEye,https://www.zhihu.com/question/650524932,https://www.linkedin.com/company/aeye-inc.,," AEye develops software-defined adaptive LiDAR solutions for automotive, trucking, smart infrastructure, and logistics, enabling advanced driver-assistance and autonomy. Their 4Sight™ platform and products like Apollo (1550 nm sensor) and OPTIS focus on high-resolution, long-range perception to enhance safety and efficiency, with a global presence and emphasis on OEM pain points.",clean.csv,175.78,"IoT/Connected
 
Vehicle
 
solutions,
 
and
 
Telematics.
 
Their
 
ODM
 
capabilities
 
specifically
 
cover
 
Camera
 
Modules
 
&
 
Products,
 
Driver
 
Monitoring
 
Systems
 
(DMS),
 
Vision
 
Algo...",,,no_website
,Segments.ai,,,,"Spend less time on labeling and more time building, running, and optimizing your ML algorithms. Segments.ai’s multi-sensor labeling platform lets you combine your 3D point cloud data and 2D image data...",clean.csv,175.96,"Computer
 
Vision,
 
Edge
 
Computing
 
&
 
AI,
 
and
 
Algorithm
 
Development.
 Model  Library  (Telep  AI)  Rapidise  utilizes  a  specific,  named  AI  portfolio  library  for  automotive  applica...",,,no_website
,Realbotix,https://www.realbotix.ai/,,Unknown,"Realbotix can replicate a historical figure, a celebrity or bring to life a client's vision for a humanoid robot. Our clients choose what robot they want and customize the details and aesthetics of th...",clean.csv,178.61,"Rapidise  leverages  extensive  Artificial  Intelligence  (AI)  and  Computer  Vision  capabilities  to  develop  
advanced
 
features
 
for
 
its
 
dashcam
 
and
 
Edge
 
AI
 
Box
 
solutions,
 
focu...",https://www.linkedin.com/company/realbotixcorp/,*,success
,Goodyear Tire & Rubber Company,https://www.goodyear.com/,,Unknown,"At Goodyear, innovation isn't just what we do - it's who we are. Since Goodyear's founding in 1898, our standard for success has been based on a commitment to continuous improvement and innovation.",clean.csv,178.69,"Rapidise  is  an  Original  Design  Manufacturer  (ODM)  that  focuses  on  next-generation  product  
engineering
 
and
 
electronics
 
manufacturing,
 
serving
 
core
 
industries
 
including
 
the
...",,,success
,Pelsee US Inc,https://www.pelsee.com/,,Unknown,"Pelsee is redefining the future of driving through intelligent technology. From advanced Mirror Dash Cams to next-generation Dash Cams, we integrate AI-powered driving assistance with full-color night...",clean.csv,179.15,DashCamera Solutions,,United States,success
,"DarSté, Inc.",,,,"DarSté Inc. provides automotive security innovation solutions for carjacking and vehicle theft prevention. Our patented leading product, Phantom Kill Switch, incorporates passive electronic technology...",clean.csv,179.84,"Rapidise  operates  as  an  Original  Design  Manufacturer  (ODM)  leveraging  its  12+  years  of  design  and  
25+
 
years
 
of
 
manufacturing
 
experience
 
to
 
deliver
 
complex
 
dashcam
 
and...",,,
,velavu,https://www.velavu.com/,,Unknown,"The Velavu ecosystem is a simple, yet powerful experience to oversee your assets, inventory, and processes through customised solutions and exceptionally crafted software and devices. Our devices inte...",clean.csv,134.35,"N1
use cases
Copyright © 2025, Rapidise
N1 is the ultimate go-to choice of versatile asset tracking applications across 
industries. Proudly 100% designed and developed in India, N1 is engineered for ...",https://www.linkedin.com/company/velavu,,success
,Fanstel Corporation,https://www.fanstel.com/,,Unknown,"Fanstel based in Scottsdale Arizona, established in 1990, is a manufacturer of (1) Bluetooth, WiFi, LTE, and LoRa wireless modules for medical devices, wearable devices, sport equipment, smart homes, ...",clean.csv,135.59,"or Nordic (nRF52805 or nRF52820) chipsets. These chips facilitate 
communication using Bluetooth 5.3 or earlier standards, offering up to a 100m 
range in open areas. 
• Power Efficiency: The beacons ...",https://www.linkedin.com/company/fanstel/,United States,success
,SRK Techtronics,https://www.srktechtronics.com/index.html,,Unknown,"SRK Techtronics (SRKTT) is an Electronics System Design and Manufacturing company offering a wide spectrum capability for Design, Prototype Development, and Build-to-Print/Build-to-Spec manufacturing ...",clean.csv,139.91,"Why Rapidise ?
Reliable b y Design
/gCEA  27+ years of legacy in EMS & 
product design
Proven track record in high-quality 
electronics manufacturing
FCC, CE, RoHS compliant
Every unit passes rigorous...",https://www.linkedin.com/company/srk-techtronics/,India,success
,Sharp Electronics Corp.,https://www.sharpusa.com/,,Unknown,"Sharp Corporation is a Japanese multinational electronics corporation that designs, manufactures, and sells a wide range of consumer and professional electronics, including televisions, displays, audi...",clean.csv,142.72,"• Inspection- In-line X Ray Machine (Viscom (Germany) and Shimadzu (Japan))
• PCB Cleaning (Make: Unitech)
● Electromagnetic Testing (EMI & EMC), ESD (Electrostatic) Control 
workstation
● Thermal, Hu...",https://www.linkedin.com/company/sharpbusiness/,,success
,IQVIA Digital,https://www.iqviadigital.com/,,Unknown,"IQVIA Digital powers exceptional brand experiences, delivering innovative solutions based on a customer-first, insights-driven, and integrated omnichannel vision. We provide authenticated, enhanced da...",clean.csv,145.28,"• The deployment of over 1000 beacons at AIIMS Jammu provided seamless 
indoor navigation through a mobile application, enabling on-time arrivals and a 
calmer patient experience. This solution redefi...",,,success
,Wheere,https://www.wheere.com/en/,,Unknown,"Wheere is the best in class indoor geolocation solution. At Wheere, we've revolutionized indoor geolocation with an innovative, patented approach that goes beyond the limits of traditional systems. W...",clean.csv,145.9,"IwayPlus Meets Rapidise
A Perfect Hardware3Software Collaboration
IwayPlus, a system Integrator, was selected to build an Indoor Navigation System, 
essentially a ""GPS for indoors"". For reliability, a...",https://fr.linkedin.com/company/wheereloc,,success
,Fourth Frontier Technologies,https://www.fourthfrontier.ca/,,Unknown,"Fourth Frontier creates smart wearable ECG devices, including the Frontier X2 and Frontier X Plus, providing real-time heart insights to help users optimize health, boost performance, and enhance over...",clean.csv,147.23,"cv
N4
N4 is the ultimate go-to choice for versatile asset tracking & monitoring use 
cases across industries. Proudly 100% designed and developed in India, N4 is 
engineered for excellence and reliabi...",https://www.linkedin.com/company/fourth-frontier-technologies-corporation/,,success
